URL,Name,Price,Rating,Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9 out of 5 stars,,None,B097RJ22Q3,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,,None,B084JGJ8PF,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.8 out of 5 stars,"Good quality and stylish.. for travel and trip.
, 
Prince is Good quality nice By the way Bag is Excellent
, 
Like this product
, 
Too small for me...but bag not bad
, 
It is very nice bag . I like it .
, 
It's costly no value of money
, 
Nice 🙂👍
, 
It's value  for money also cheap and best","   Material: Water Resistant Light-Weight Polyester&lt;br&gt;    Compartments: 2 with padding; Laptop Size: 15.6 inch and below&lt;br&gt;    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches&lt;br&gt;    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders&lt;br&gt;    Closure Type: Zipper&lt;br&gt;    
",B09TPX22NF,Visit the ADISA Store
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",689,3.9 out of 5 stars,,None,B085MHDJ93,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0 out of 5 stars,,None,B07Q7CNPMV,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",565,4.3 out of 5 stars,,None,B085S444JV,
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,214,3.7 out of 5 stars,,None,B019HA8AYG,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1 out of 5 stars,,None,B0BTD4FK9G,
https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,,None,B0BJ32LQ6X,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",689,3.9 out of 5 stars,,None,B09VTCNN75,
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1 out of 5 stars,,None,B088XB5XY8,
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075",4.4 out of 5 stars,,None,B07G4F6XFH,
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",799,3.9 out of 5 stars,,None,B09B25Z8M2,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,131",4.3 out of 5 stars,,None,B075MK4TXP,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0 out of 5 stars,,None,B07CJCGM1M,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,649,4.1 out of 5 stars,,None,B08Z1HHHTD,
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9 out of 5 stars,,None,B097RJ22Q3,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,,None,B084JGJ8PF,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.8 out of 5 stars,"Good quality and stylish.. for travel and trip.
, 
Prince is Good quality nice By the way Bag is Excellent
, 
Like this product
, 
Too small for me...but bag not bad
, 
It is very nice bag . I like it .
, 
It's costly no value of money
, 
Nice 🙂👍
, 
It's value  for money also cheap and best","   Material: Water Resistant Light-Weight Polyester&lt;br&gt;    Compartments: 2 with padding; Laptop Size: 15.6 inch and below&lt;br&gt;    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches&lt;br&gt;    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders&lt;br&gt;    Closure Type: Zipper&lt;br&gt;    
",B09TPX22NF,Visit the ADISA Store
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",689,3.9 out of 5 stars,"Good quality material and zipper are super smooth. Been quite a while using this bag regularly.
, 
Very useful
, 
This bag can be used as a travel bag for moderate amount of luggage or as a college bag. It has good aesthetics and is a good value for money. The bag itself isn't water proof in my experience, but it does have a rain-cover given with it.
, 
Bag
, 
Inner lining and stitching are not up to the mark. Costly for this price
, 
love it, but price just more,packing good.
, 
improve the hight!
, 
Good for travelling","   SPACIOUS AND LIGHTWEIGHT: Light weight &amp; spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files &amp; all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides &amp; has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded &amp; Adjustable shoulder straps &amp; Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly &amp; Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART &amp; TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING &amp; LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains &amp; extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating &amp; to help you lift heavy objects easily.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 &amp; 17 inches), Reflector Logo.    
",B085MHDJ93,Visit the Half Moon Store
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0 out of 5 stars,,None,B07Q7CNPMV,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",565,4.3 out of 5 stars,,None,B085S444JV,
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,214,3.7 out of 5 stars,,None,B019HA8AYG,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1 out of 5 stars,"Good quality price is little bit high but for the brand its alright
, 
It’s perfect for 16inch mac. The quality is ok. It is a medium size. Not ideal for week travelling purpose. Side pocket for bottle isn’t looking good.
, 
Fantastic quality &amp; perfect size to carry your daily essentials.This is very corporate Blue color which stands out from rest of the the usual backpacks
,","   Care Instructions: Hand Wash Only    Well Organized compartment ,Security Back Pocket    
",B0BTD4FK9G,Visit the American Tourister Store
https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,,None,B0BJ32LQ6X,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",689,3.9 out of 5 stars,"The Product is good for the pricing level, i really liked the Power cable for Power Bank &amp; my only slight issue is i can't able to change the lock code it's pre set and how hard I tried i didn't find a reset option, But Overall the Bag is very Good Though
, 
Color, material... Everything is giving complex to the price
, 
The product is best as in price level. The quality of zips are good. All though i like the lock system for this bag. I would highly recommend this product
, 




                    The media could not be loaded.
                



 First of all the built quality is very good, the bag feel premium specially considering the price, there are some cons as well first no dedicated hanging loop send the strap is not 'S shaped', so when you wear a t shirt it's going to irritate rubbing your neck, and the back mesh could have been padded,  but still considering the price it's definitely a good choice. You can go for it. This is still my first impression of the bag.
, 
Very good product
, 
I would like to give you the review of the product the product is made of good quality the zipsOf the bag is good the bag is of lite weight the product material is soft and its easy to carry specially it contains a charging port and thats the reason i bought the bag Satisfied with the product
, 
Looks good, stylish but sometimes number lock not working properly.
, 
Anti Theft Number Lock isn't working. even if you get it unlocked and set a new number. when you try to open it it doesn't work.","   Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.&lt;br&gt;    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.&lt;br&gt;    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.&lt;br&gt;    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects&lt;br&gt;    Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult&lt;br&gt;    
",B09VTCNN75,Visit the FUR JADEN Store
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1 out of 5 stars,"It is water resistant, light wt and true to color mentioned .
, , 
Good
, 
Good enough and can be bought ...it's durable and easy to carry...good quality 😊 try it
, 
It is nice product at this price
, 
Little small in size, sirf 2 joda kapda muskil se hi ayega, tiffin bag/college bag ke liye sehi hai.
, 
Good
, 
Fantastic!! In first sight! Zips are both much smoother, looking like premium quality interior and exterior also been.  One thing thinking mild doubtful ; is this dark color is durable ahead?  Overall feeling Better Quality 👏🏻","   Made of multi-coated 600D polyester Material ; Water Repellent    Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters    Small Size backpack; Laptop Compatibility: No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty    
› See more product details ",B088XB5XY8,Brand: MI
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075",4.4 out of 5 stars,,None,B07G4F6XFH,
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",799,3.9 out of 5 stars,,None,B09B25Z8M2,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,131",4.3 out of 5 stars,,None,B075MK4TXP,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0 out of 5 stars,,None,B07CJCGM1M,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,649,4.1 out of 5 stars,,None,B08Z1HHHTD,
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9 out of 5 stars,,None,B097RJ22Q3,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,,None,B084JGJ8PF,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.8 out of 5 stars,,None,B09TPX22NF,
